rust:event_dispatching,erlang:port_receive,port:message_queue_len,erlang:msg_byte_size,erlang:binary_to_term,chalk_pipeline:flush/0,erlang:term_to_binary,erlang:msg_byte_size,erlang:port_command
0.011421,0.087024,0,76,0.006913,0.001153,0.228741,804,0.013065
0.011111,0.115467,0,76,0.006362,0.001263,0.239481,804,0.014427
0.014717,0.087034,0,76,0.005711,0.000972,0.197863,804,0.011862
0.017663,0.11674,0,76,0.012263,0.002515,0.269007,804,0.015359
0.012604,0.093045,0,76,0.012704,0.003276,0.268687,804,0.016651
0.012794,0.105359,0,76,0.011541,0.002275,0.247757,804,0.014267
0.012693,0.0848,0,76,0.011702,0.002565,0.265591,804,0.015429
0.013044,0.116179,0,76,0.011943,0.001933,0.297501,804,0.014908
0.012814,0.075051,0,76,0.009969,0.001714,0.262444,804,0.014448
0.013035,0.098465,0,76,0.009178,0.001683,0.256704,804,0.014056
0.012985,0.091522,0,76,0.008807,0.001543,0.239191,804,0.012954
0.012704,0.078638,0,76,0.009968,0.001904,0.252546,804,0.014047
0.011391,0.092385,0,76,0.009277,0.001783,0.233601,804,0.013535
0.012814,0.073619,0,76,0.009257,0.001523,0.234532,804,0.014067
0.013817,0.094758,0,76,0.009438,0.001643,0.248408,804,0.014287
0.014327,0.086734,0,76,0.009598,0.001763,0.248829,804,0.016301
0.014087,0.072186,0,76,0.056987,0.001713,0.25433,804,0.014337
0.013465,0.097384,0,76,0.008526,0.001803,0.267996,804,0.014707
0.013094,0.08993,0,76,0.009478,0.001533,0.226056,804,0.013766
0.013185,0.091052,0,76,0.008866,0.001764,0.230204,804,0.012263
0.011712,0.08536,0,76,0.008927,0.001323,0.236516,804,0.014016
0.013495,0.079049,0,76,0.008225,0.001533,0.242878,804,0.013886
0.03199,0.116841,0,76,0.010499,0.001593,0.276532,804,0.015589
0.015779,0.094268,0,76,0.008166,0.001693,0.236796,804,0.014347
0.01574,0.10621,0,76,0.008766,0.001533,0.241245,804,0.014297
0.014618,0.073519,0,76,0.008205,0.001232,0.187103,804,0.0107
0.014417,0.066485,0,76,0.007384,0.001483,0.181191,804,0.011843
0.014477,0.081484,0,76,0.007805,0.001462,0.189407,804,0.011141
0.015459,0.072006,0,76,0.007914,0.001383,0.202903,804,0.011321
0.015419,0.070583,0,76,0.007825,0.001042,0.181281,804,0.011552
0.015179,0.101942,0,76,0.01049,0.001823,0.210918,804,0.013335
0.014908,0.072988,0,76,0.008436,0.001803,0.160884,804,0.009387
0.015028,0.073939,0,76,0.008727,0.001623,0.19655,804,0.012153
0.013004,0.068149,0,76,0.008586,0.001974,0.202001,804,0.01063
0.015599,0.0744,0,76,0.009748,0.001253,0.199646,804,0.012664
0.014187,0.070162,0,76,0.007905,0.000982,0.156485,804,0.010119
0.032191,0.092755,0,76,0.009908,0.001714,0.205778,804,0.014126
0.016261,0.072366,0,76,0.042631,0.001252,0.163298,804,0.01081
0.013415,0.070603,0,76,0.008626,0.001463,0.206439,804,0.012233
0.015029,0.077616,0,76,0.008837,0.001452,0.199106,804,0.013475
0.015219,0.081634,0,76,0.009838,0.001874,0.216809,804,0.012834
0.026981,0.096612,0,76,0.009087,0.001643,0.16409,804,0.011532
0.015279,0.078147,0,76,0.008887,0.001894,0.202001,804,0.012323
0.013826,0.06908,0,76,0.008346,0.001613,0.160413,804,0.013044
0.012975,0.097904,0,76,0.009799,0.001703,0.305666,804,0.018705
0.020468,0.089088,0,76,0.01048,0.001533,0.291449,804,0.016822
0.019567,0.084439,0,76,0.009949,0.001683,0.261563,804,0.015139
0.018144,0.082786,0,76,0.009618,0.001753,0.236276,804,0.014167
0.02085,0.103635,0,76,0.011762,0.003006,0.277333,804,0.016992
0.019768,0.099116,0,76,0.011923,0.003036,0.278044,804,0.014367
0.030077,0.115287,0,76,0.013145,0.002685,0.276852,804,0.015429
0.013826,0.092624,0,76,0.012274,0.003316,0.292511,804,0.013756
0.012744,0.088727,0,76,0.013426,0.002424,0.298743,804,0.014999
0.011282,0.083888,0,76,0.011602,0.002174,0.293062,804,0.01562
0.011672,0.082616,0,76,0.01057,0.001773,0.285459,804,0.014928
0.011572,0.078117,0,76,0.01048,0.001883,0.296569,804,0.013255
0.011492,0.076374,0,76,0.011361,0.001874,0.305976,804,0.013336
0.013856,0.105308,0,76,0.009498,0.001573,0.229202,804,0.014307
0.014527,0.081965,0,76,0.050575,0.000902,0.191521,804,0.011712
0.014498,0.09039,0,76,0.00517,0.001012,0.200909,804,0.011602
0.014508,0.087034,0,76,0.005039,0.001022,0.192563,804,0.012514
0.014337,0.093476,0,76,0.005711,0.001072,0.223131,804,0.012183
0.014688,0.096942,0,76,0.005611,0.001192,0.219013,804,0.013806
0.014277,0.104056,0,76,0.005991,0.001172,0.233761,804,0.013526
0.014618,0.086603,0,76,0.005621,0.001182,0.222449,804,0.013275
0.012734,0.086072,0,76,0.00535,0.000972,0.196761,804,0.011872
0.020379,0.1224,0,76,0.005661,0.001172,0.218642,804,0.013285
0.021701,0.097253,0,76,0.00552,0.001172,0.211149,804,0.013415
0.023504,0.080382,0,76,0.00561,0.001012,0.224163,804,0.012774
0.018895,0.101241,0,76,0.006082,0.001192,0.247376,804,0.01569
0.020519,0.092213,0,76,0.006052,0.001262,0.2547,804,0.013827
0.023855,0.102673,0,76,0.005921,0.001112,0.208704,804,0.013886
0.022011,0.095741,0,76,0.005831,0.001132,0.235854,804,0.014167
0.019667,0.093065,0,76,0.006422,0.001232,0.2276,804,0.013786
0.021801,0.067538,0,76,0.006412,0.001082,0.193905,804,0.011712
0.019687,0.088256,0,76,0.005681,0.000952,0.191852,804,0.012663
0.02083,0.101491,0,76,0.006592,0.001223,0.200427,804,0.011873
0.0212,0.158699,0,76,0.006132,0.001222,0.200468,804,0.012203
0.020809,0.097464,0,76,0.006552,0.001263,0.208032,804,0.012373
0.019327,0.181952,0,76,0.060214,0.001663,0.308742,804,0.014227
0.022873,0.080932,0,76,0.006553,0.001172,0.204325,804,0.012253
0.028764,0.116239,0,76,0.008846,0.001694,0.215526,804,0.012504
0.019748,0.155833,0,76,0.006813,0.001553,0.223632,804,0.013265
0.022803,0.125968,0,76,0.008716,0.001844,0.220536,804,0.014477
0.020299,0.090169,0,76,0.006793,0.001132,0.202743,804,0.013004
0.023946,0.230334,0,76,0.007324,0.001302,0.230875,804,0.014508
0.02129,0.076534,0,76,0.007785,0.001313,0.255441,804,0.013566
0.020349,0.096652,0,76,0.007113,0.001252,0.236677,804,0.014908
0.021761,0.1064,0,76,0.007344,0.001122,0.228892,804,0.014377
0.027422,0.170922,0,76,0.007975,0.001483,0.235203,804,0.014728
0.023183,0.240374,0,76,0.007534,0.001442,0.229363,804,0.014207
0.021731,0.093847,0,76,0.006322,0.001283,0.235083,804,0.012824
0.024496,0.10077,0,76,0.006322,0.001162,0.24898,804,0.014427
0.023003,0.094027,0,76,0.006122,0.001092,0.199095,804,0.012764
0.024306,0.124034,0,76,0.006913,0.001212,0.249461,804,0.014848
