latency
57880
57711
55724
64214
65044
58287
58424
56731
55086
62313
55152
61495
55401
61507
59037
54975
56247
63722
64288
59806
62776
62511
63570
61705
60558
60192
55527
58715
65713
62715
63047
65138
59996
60952
63119
60119
56649
53956
62621
55923
56274
54898
63650
55699
65300
54737
68594
68254
61102
65759
71592
65916
66654
64741
70125
67757
64674
62654
66498
66082
67264
65056
58009
63658
65399
65407
60557
65812
62891
69652
63020
59217
61353
59655
61384
64860
64183
62922
64809
62255
62487
71302
63346
65443
63273
68011
60659
71013
59668
59603
55455
63303
61395
58701
55084
62791
60867
63311
57209
65296
58401
59022
62333
60908
64755
56174
61630
61650
62444
56500
56705
56094
60200
65736
58190
57183
59109
56691
57335
55150
59184
59474
61629
53324
59507
55570
61487
55908
62133
69515
62172
54296
51395
53405
53576
66069
61979
58381
58593
56554
56983
55989
63618
60259
59217
56961
56893
60889
60783
61470
70858
64390
64655
59326
60086
72338
56229
55961
57865
59475
59931
56163
55922
61309
66307
62585
61000
53995
56568
57444
56663
56126
54448
53051
53239
53563
64207
60801
78316
75279
70086
73831
67394
61952
62182
57753
61599
63972
56845
63010
63301
60399
56669
54409
59025
55601
61046
61794
53815
59688
54302
59569
59382
57675
59775
59092
58080
68380
56473
53371
59263
60859
61064
63023
59687
59404
56604
56415
57925
54684
60286
56662
56410
56472
57726
59367
56310
59815
56663
56777
65773
59585
61230
68082
54794
52062
58427
56889
59116
57458
56873
60953
61134
60892
56088
55823
62302
65030
62396
55587
54988
60241
56479
55588
59398
53740
55210
58886
57363
56229
69234
54918
53803
59155
66182
63796
63936
68232
62328
60798
61297
60831
56544
56270
54921
61689
56885
55278
64534
57168
62697
72125
64351
65389
56790
62179
64592
63283
55081
61728
59921
60642
60670
54249
62823
62496
56292
60985
57101
64052
56297
57081
58256
56699
54096
61236
57780
58950
57891
56496
59734
57818
70663
53985
60792
61165
63264
55686
65157
54939
60676
55869
56050
59288
57078
54563
63614
60797
54658
60724
54922
63189
53933
55145
53877
51936
59928
60069
65686
57348
53466
56841
57022
55799
55277
59259
58891
59820
66968
62640
62493
73452
64778
56902
58582
56474
59215
60491
57281
62954
53631
56009
62431
